q1;q2;q3;r0;J;R_;L_;C_;D_;Vi
0.001;0.001;2.515206437;0.001;0.006888003;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207605;0.001;0.237755957;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515208015;0.001;0.237755975;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207361;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515206974;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51520724;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207469;0.001;0.237755951;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207396;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207358;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51520745;0.001;0.23775595;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51520741;0.001;0.006888001;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51520741;0.001;0.006888001;133.333;0.000111111;0.00005;0.5;20
0.333602088;0.001;0.001;0.001;6.101860895;133.333;0.000111111;0.00005;0.5;20
0.235012434;0.001;1.121649076;0.001;0.152830129;133.333;0.000111111;0.00005;0.5;20
0.055620811;0.001;2.175694871;0.001;0.053353976;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.351677321;0.001;0.007125753;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.619689899;0.001;0.2423543;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.476587887;0.001;0.00694202;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.491122834;0.001;0.006921542;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.527706208;0.001;0.238310702;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.492912496;0.001;0.006919033;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.48199266;0.001;0.006934384;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51880172;0.001;0.237915612;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.513893974;0.001;0.006889818;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.511689806;0.001;0.00689287;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.512712701;0.001;0.006891453;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51640995;0.001;0.237809378;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515743441;0.001;0.237779766;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514482595;0.001;0.006889004;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514286718;0.001;0.006889275;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51524721;0.001;0.237757717;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51490288;0.001;0.006888423;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515042446;0.001;0.00688823;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515177918;0.001;0.006888042;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515252342;0.001;0.237757945;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515194344;0.001;0.00688802;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515181826;0.001;0.006888037;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515188011;0.001;0.006888028;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515212604;0.001;0.237756179;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515212453;0.001;0.237756172;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207735;0.001;0.237755963;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515186849;0.001;0.00688803;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515201636;0.001;0.006888009;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515215313;0.001;0.237756299;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515199504;0.001;0.006888012;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51519205;0.001;0.006888023;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515197554;0.001;0.006888015;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515212848;0.001;0.23775619;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515215709;0.001;0.237756317;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515202288;0.001;0.006888009;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515194436;0.001;0.006888019;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51521368;0.001;0.237756227;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515214695;0.001;0.237756272;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51521196;0.001;0.23775615;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515206518;0.001;0.006888003;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515205723;0.001;0.006888004;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207564;0.001;0.237755955;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515208182;0.001;0.237755982;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207342;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515206943;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207664;0.001;0.237755959;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207713;0.001;0.237755962;133.333;0.000111111;0.00005;0.5;20
0.001;0.339554763;0.618610076;0.001;0.075460856;133.333;0.000111111;0.00005;0.5;20
0.001;0.191191993;1.133405162;0.001;0.04234767;133.333;0.000111111;0.00005;0.5;20
0.001;0.003691757;1.667256079;0.001;0.009400242;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.404329121;0.001;0.007046563;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;3.006505877;0.001;0.258667262;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.850614681;0.001;0.008041109;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.995699935;0.001;0.00774088;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.793627161;0.001;0.249821631;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;3.018105734;0.001;0.259140577;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.787928604;0.001;0.008181989;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;3.212477027;0.001;0.266946611;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.649050595;0.001;0.24363086;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.232044479;0.001;0.007315986;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.1169115;0.001;0.00751408;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.557197867;0.001;0.239614588;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.667244063;0.001;0.244418538;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.272410847;0.001;0.007250122;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.596061298;0.001;0.241322057;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.635821955;0.001;0.243056528;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.432611273;0.001;0.00700509;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.364719629;0.001;0.007105891;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.363510022;0.001;0.007107726;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.523362537;0.001;0.238118056;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.531448774;0.001;0.238476563;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.40802864;0.001;0.007041097;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.580852211;0.001;0.240655286;133.333;0.000111111;0.00005;0.5;20
